,unnamed:_0,customer,state,customer_lifetime_value,response,coverage,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type
2242,2242,YZ36062,Oregon,6529.431827,No,Basic,Bachelor,2/5/11,Medical Leave,M,13476,Suburban,Single,67,3.0,30,2.0,2,Corporate Auto,Corporate L3,Offer3,Branch,433.588181,Four-Door Car,Medsize,A
2249,2249,KX99703,Oregon,6273.911874,Yes,Extended,College,2/16/11,Retired,F,18577,Suburban,Divorced,86,21.0,76,0.0,6,Personal Auto,Personal L3,Offer1,Branch,412.8,Four-Door Car,Medsize,A
2251,2251,PD79570,Oregon,4334.210791,No,Premium,Bachelor,2/21/11,Unemployed,F,0,Suburban,Single,116,6.0,87,0.0,1,Personal Auto,Personal L3,Offer2,Agent,1065.617464,Four-Door Car,Small,A
2252,2252,HX96638,Arizona,2052.948967,No,Basic,College,2/2/11,Unemployed,M,0,Suburban,Single,67,33.0,21,2.0,1,Personal Auto,Personal L3,Offer3,Agent,806.180375,Four-Door Car,Large,A
2253,2253,EM43724,Nevada,2509.107875,No,Basic,Bachelor,2/16/11,Employed,F,33555,Rural,Married,63,17.0,11,0.0,1,Personal Auto,Personal L3,Offer1,Agent,101.89645,Four-Door Car,Medsize,A
2255,2255,MU63232,Arizona,5351.853544,No,Extended,Master,2/18/11,Employed,M,54817,Rural,Single,137,24.0,28,0.0,1,Personal Auto,Personal L2,Offer2,Agent,209.504391,SUV,Medsize,A
2259,2259,PM27367,California,2778.903705,No,Basic,Master,2/27/11,Employed,F,73570,Rural,Single,70,0.0,46,1.0,1,Special Auto,Special L3,Offer2,Branch,75.936096,Two-Door Car,Medsize,A
2261,2261,NM22175,Oregon,11490.33618,No,Premium,College,1/9/11,Unemployed,M,0,Suburban,Married,161,0.0,94,0.0,3,Personal Auto,Personal L3,Offer2,Branch,1052.933035,SUV,Large,A
2262,2262,YV22553,Arizona,8668.611261,No,Basic,High School or Below,2/20/11,Employed,M,21474,Urban,Married,114,13.0,72,2.0,9,Corporate Auto,Corporate L3,Offer1,Agent,373.428187,SUV,Small,A
2263,2263,QW60568,California,8888.143979,No,Premium,College,2/6/11,Employed,M,58789,Rural,Married,111,4.0,69,0.0,3,Corporate Auto,Corporate L2,Offer3,Call Center,215.438825,Four-Door Car,Medsize,A
2266,2266,BU59722,Washington,5037.953998,No,Basic,High School or Below,1/9/11,Unemployed,M,0,Suburban,Married,68,28.0,23,1.0,9,Personal Auto,Personal L2,Offer3,Web,326.4,Four-Door Car,Medsize,A
2267,2267,YW88487,Arizona,7457.344801,No,Basic,College,1/3/11,Employed,F,43406,Suburban,Married,187,6.0,49,0.0,1,Personal Auto,Personal L2,Offer3,Agent,897.6,Luxury SUV,Medsize,A
2268,2268,EZ41764,California,2498.963061,No,Basic,Bachelor,2/26/11,Employed,M,76792,Suburban,Married,62,12.0,27,0.0,1,Personal Auto,Personal L2,Offer3,Agent,297.6,Four-Door Car,Medsize,A
2269,2269,KC67652,Arizona,10876.4794,No,Extended,Doctor,2/4/11,Employed,M,71255,Rural,Single,138,28.0,16,0.0,4,Personal Auto,Personal L1,Offer1,Agent,138.633681,Sports Car,Medsize,A
2271,2271,WL46640,Nevada,4482.015107,No,Basic,College,2/3/11,Employed,M,62977,Suburban,Single,115,34.0,40,0.0,1,Corporate Auto,Corporate L3,Offer3,Agent,552.0,SUV,Small,A
2272,2272,HD44279,Arizona,5090.44875,No,Basic,Bachelor,2/8/11,Disabled,F,25226,Suburban,Divorced,71,13.0,97,1.0,4,Personal Auto,Personal L2,Offer1,Branch,340.8,Four-Door Car,Medsize,A
2274,2274,UV89069,Nevada,2802.621642,No,Basic,Bachelor,1/15/11,Employed,F,34628,Rural,Married,71,21.0,31,0.0,1,Personal Auto,Personal L3,Offer2,Branch,132.517983,Four-Door Car,Medsize,A
2276,2276,IP87756,Washington,4151.551337,No,Extended,High School or Below,1/17/11,Unemployed,M,0,Suburban,Single,125,23.0,64,0.0,1,Personal Auto,Personal L2,Offer1,Branch,900.0,SUV,Small,A
2277,2277,ZU83252,California,8703.727127,No,Basic,Master,2/9/11,Employed,F,61897,Rural,Married,72,7.0,79,0.0,2,Personal Auto,Personal L3,Offer3,Web,3.406136,Four-Door Car,Medsize,A
2279,2279,HS79851,Oregon,6057.07208,Yes,Extended,Bachelor,2/14/11,Retired,M,27681,Suburban,Married,83,13.0,62,0.0,9,Personal Auto,Personal L2,Offer2,Agent,398.4,Two-Door Car,Medsize,A
2281,2281,JQ70222,Washington,8548.30415,No,Basic,High School or Below,1/13/11,Employed,F,53055,Suburban,Single,112,30.0,30,2.0,3,Personal Auto,Personal L1,Offer3,Call Center,537.6,SUV,Small,A
2283,2283,CP98451,Oregon,9057.935331,No,Basic,College,1/2/11,Employed,F,91025,Urban,Married,112,26.0,37,0.0,9,Personal Auto,Personal L3,Offer1,Agent,327.682669,SUV,Medsize,A
2286,2286,MR57294,California,5639.941974,Yes,Basic,High School or Below,1/10/11,Employed,M,73168,Suburban,Married,70,21.0,50,0.0,3,Personal Auto,Personal L3,Offer2,Agent,425.800112,Four-Door Car,Medsize,A
2287,2287,DV51398,California,8827.229838,No,Extended,High School or Below,2/15/11,Unemployed,M,0,Suburban,Single,123,35.0,38,1.0,3,Personal Auto,Personal L3,Offer2,Branch,1088.38378,SUV,Medsize,A
2290,2290,WL40338,California,5107.163002,Yes,Basic,Bachelor,1/26/11,Employed,F,35625,Urban,Married,65,10.0,56,1.0,3,Personal Auto,Personal L1,Offer2,Agent,288.572108,Four-Door Car,Medsize,A
2296,2296,AY55759,California,20096.89337,Yes,Basic,High School or Below,1/1/11,Employed,F,92766,Suburban,Married,71,17.0,15,0.0,2,Personal Auto,Personal L2,Offer2,Agent,379.029102,Two-Door Car,Large,A
2297,2297,YX67409,California,8058.659713,No,Basic,Bachelor,2/9/11,Employed,M,25595,Suburban,Married,101,5.0,86,0.0,9,Personal Auto,Personal L2,Offer3,Call Center,484.8,SUV,Medsize,A
2300,2300,ZX17330,Arizona,2537.383207,No,Basic,Bachelor,1/30/11,Employed,M,92401,Rural,Divorced,64,30.0,37,0.0,1,Personal Auto,Personal L1,Offer4,Agent,50.359627,Four-Door Car,Medsize,A
2301,2301,PF53601,Oregon,28432.00202,No,Basic,Bachelor,1/9/11,Medical Leave,M,17130,Suburban,Divorced,198,1.0,58,0.0,2,Special Auto,Special L3,Offer1,Agent,950.4,Luxury SUV,Medsize,A
2302,2302,OX62244,California,4359.74197,No,Basic,Bachelor,1/24/11,Unemployed,M,0,Suburban,Single,64,17.0,84,0.0,9,Personal Auto,Personal L1,Offer1,Branch,307.2,Four-Door Car,Medsize,A
2303,2303,RB81636,Washington,2274.775451,No,Basic,College,1/15/11,Unemployed,F,0,Suburban,Single,63,2.0,5,0.0,1,Personal Auto,Personal L2,Offer2,Agent,606.642452,Four-Door Car,Small,A
2305,2305,QA72881,Oregon,8658.863813,Yes,Basic,College,2/7/11,Employed,M,62464,Urban,Married,109,23.0,45,0.0,4,Personal Auto,Personal L3,Offer2,Agent,400.181882,Sports Car,Medsize,A
2306,2306,LT77960,Arizona,5316.7566,No,Basic,College,1/21/11,Employed,F,28559,Suburban,Married,66,5.0,1,0.0,5,Corporate Auto,Corporate L3,Offer4,Call Center,427.242973,Four-Door Car,Medsize,A
2309,2309,EL55611,California,5555.492159,No,Extended,High School or Below,1/27/11,Employed,F,51705,Urban,Married,139,26.0,79,0.0,1,Personal Auto,Personal L3,Offer1,Agent,545.291103,SUV,Medsize,A
2311,2311,PG48617,California,2895.522489,No,Basic,High School or Below,1/3/11,Employed,M,46267,Urban,Married,72,4.0,73,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,231.969205,Four-Door Car,Medsize,A
2313,2313,DY81347,California,4715.469193,No,Extended,High School or Below,2/2/11,Unemployed,F,0,Suburban,Married,126,13.0,91,0.0,1,Personal Auto,Personal L3,Offer2,Web,694.357961,SUV,Medsize,A
2316,2316,CR99369,Arizona,5377.90796,No,Basic,High School or Below,2/16/11,Employed,M,34528,Urban,Married,69,22.0,0,2.0,7,Corporate Auto,Corporate L3,Offer1,Agent,183.602763,Four-Door Car,Large,A
2317,2317,ON74557,California,14651.6153,No,Extended,Bachelor,1/6/11,Employed,M,74915,Urban,Married,122,13.0,17,0.0,2,Personal Auto,Personal L2,Offer3,Branch,393.151377,SUV,Medsize,A
2322,2322,UF13251,Oregon,8510.758196,No,Basic,High School or Below,2/26/11,Employed,M,26032,Suburban,Married,109,18.0,25,0.0,3,Personal Auto,Personal L2,Offer2,Web,638.098653,SUV,Medsize,A
2323,2323,IE82679,California,2453.570794,Yes,Basic,Bachelor,2/9/11,Medical Leave,M,29735,Suburban,Single,69,3.0,92,0.0,1,Personal Auto,Personal L2,Offer1,Agent,331.2,Four-Door Car,Medsize,A
2326,2326,EK58626,Oregon,3561.595726,No,Basic,Bachelor,2/2/11,Unemployed,M,0,Suburban,Single,105,3.0,30,0.0,1,Personal Auto,Personal L3,Offer4,Web,504.0,SUV,Medsize,A
2327,2327,VO94890,Oregon,5935.572179,No,Basic,College,1/4/11,Employed,M,90263,Suburban,Married,74,17.0,36,0.0,8,Personal Auto,Personal L1,Offer4,Web,355.2,Two-Door Car,Medsize,A
2329,2329,OG31942,California,14628.49627,No,Basic,College,2/19/11,Employed,M,63936,Urban,Single,189,4.0,29,0.0,5,Personal Auto,Personal L3,Offer1,Agent,765.012123,Luxury Car,Medsize,A
2331,2331,YL27602,Oregon,6393.874612,No,Basic,Master,1/27/11,Unemployed,M,0,Suburban,Single,66,4.0,6,2.0,2,Personal Auto,Personal L3,Offer1,Agent,316.8,Four-Door Car,Large,A
2335,2335,OX21474,California,2698.355517,No,Basic,High School or Below,1/23/11,Employed,M,88867,Suburban,Single,69,6.0,2,1.0,1,Personal Auto,Personal L1,Offer3,Web,331.2,Four-Door Car,Medsize,A
2338,2338,CT50487,California,2851.161121,No,Basic,High School or Below,2/10/11,Employed,F,55274,Suburban,Married,71,14.0,35,0.0,1,Corporate Auto,Corporate L3,Offer2,Call Center,484.728153,Two-Door Car,Medsize,A
2339,2339,ZF27999,Nevada,4904.894731,Yes,Extended,College,2/14/11,Retired,F,12902,Suburban,Divorced,139,3.0,51,0.0,1,Personal Auto,Personal L1,Offer1,Agent,667.2,Sports Car,Medsize,A
2343,2343,JJ66819,Oregon,2989.963139,No,Basic,Bachelor,2/21/11,Employed,F,79867,Rural,Divorced,74,25.0,76,1.0,1,Personal Auto,Personal L2,Offer1,Branch,78.172321,Four-Door Car,Small,A
2344,2344,UA19178,Oregon,4980.825042,No,Basic,Master,2/10/11,Employed,F,53265,Urban,Married,62,12.0,27,0.0,3,Personal Auto,Personal L2,Offer2,Call Center,238.005074,Four-Door Car,Small,A
2347,2347,HC16500,Arizona,8189.967712,No,Basic,Doctor,2/25/11,Employed,M,72191,Urban,Married,68,19.0,48,0.0,2,Personal Auto,Personal L3,Offer3,Call Center,209.387509,Four-Door Car,Medsize,A
2349,2349,EC71986,Washington,2429.280527,No,Basic,High School or Below,1/18/11,Medical Leave,F,26736,Suburban,Married,63,6.0,64,0.0,1,Personal Auto,Personal L1,Offer1,Agent,367.92773,Four-Door Car,Medsize,A
2350,2350,CV13878,California,2489.751297,No,Basic,High School or Below,2/1/11,Employed,F,75474,Suburban,Married,62,12.0,7,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,297.6,Two-Door Car,Medsize,A
2351,2351,KJ31611,Arizona,10808.06597,No,Extended,High School or Below,1/30/11,Employed,M,31063,Suburban,Married,92,20.0,19,0.0,2,Personal Auto,Personal L2,Offer2,Agent,441.6,Four-Door Car,Small,A
2353,2353,AV93209,California,12487.58095,No,Premium,High School or Below,1/11/11,Employed,F,31283,Suburban,Married,104,18.0,3,0.0,2,Personal Auto,Personal L3,Offer1,Agent,499.2,Four-Door Car,Medsize,A
2355,2355,EC78254,Washington,8409.668976,No,Basic,College,2/10/11,Employed,F,53986,Rural,Married,70,22.0,37,1.0,2,Corporate Auto,Corporate L3,Offer1,Branch,127.886591,Four-Door Car,Medsize,A
2361,2361,CU26127,California,15656.03434,No,Extended,Bachelor,2/2/11,Employed,F,71731,Urban,Single,130,12.0,50,0.0,2,Corporate Auto,Corporate L2,Offer1,Branch,599.648466,SUV,Medsize,A
2367,2367,PQ27923,Washington,6333.030812,No,Extended,Master,1/8/11,Employed,M,71737,Urban,Divorced,79,7.0,79,0.0,4,Personal Auto,Personal L2,Offer3,Agent,338.79562,Two-Door Car,Medsize,A
2368,2368,US78266,California,6993.838856,No,Basic,High School or Below,1/22/11,Unemployed,F,0,Suburban,Single,65,29.0,35,2.0,2,Corporate Auto,Corporate L2,Offer1,Call Center,468.0,Four-Door Car,Medsize,A
2373,2373,JS36322,Arizona,8901.678357,No,Extended,High School or Below,1/19/11,Unemployed,M,0,Suburban,Single,136,14.0,69,1.0,8,Personal Auto,Personal L3,Offer1,Agent,1090.86434,Sports Car,Small,A
2383,2383,YG20683,Washington,2860.111745,No,Basic,College,2/20/11,Employed,M,51159,Rural,Married,72,4.0,61,0.0,1,Personal Auto,Personal L2,Offer2,Branch,4.238626,Four-Door Car,Medsize,A
2384,2384,HG68775,Washington,4506.485006,No,Premium,College,2/17/11,Medical Leave,F,15462,Suburban,Married,115,34.0,18,0.0,1,Corporate Auto,Corporate L2,Offer1,Web,611.941558,Four-Door Car,Medsize,A
2386,2386,TS19868,California,2413.139714,No,Basic,College,1/27/11,Medical Leave,M,27501,Suburban,Married,63,20.0,0,0.0,1,Personal Auto,Personal L1,Offer4,Branch,542.319401,Four-Door Car,Medsize,A
2387,2387,LL14393,Oregon,2556.609217,No,Basic,High School or Below,1/5/11,Employed,M,23867,Suburban,Married,65,6.0,99,0.0,1,Personal Auto,Personal L2,Offer3,Call Center,312.0,Four-Door Car,Medsize,A
2388,2388,FP53421,California,7613.706014,No,Basic,High School or Below,1/19/11,Retired,M,25944,Suburban,Divorced,70,20.0,34,0.0,2,Personal Auto,Personal L3,Offer4,Branch,336.0,Four-Door Car,Medsize,A
2391,2391,PE72393,Arizona,11905.06754,No,Premium,High School or Below,2/24/11,Unemployed,F,0,Suburban,Single,115,19.0,39,0.0,2,Corporate Auto,Corporate L1,Offer1,Branch,840.179082,Four-Door Car,Medsize,A
2392,2392,GW52309,Nevada,9118.148093,No,Basic,High School or Below,1/8/11,Employed,F,56446,Suburban,Married,114,2.0,8,0.0,3,Personal Auto,Personal L3,Offer1,Branch,547.2,SUV,Medsize,A
2393,2393,XK15687,Oregon,10899.30177,No,Extended,High School or Below,1/14/11,Employed,F,58518,Rural,Married,136,17.0,9,0.0,3,Personal Auto,Personal L3,Offer1,Agent,323.637414,SUV,Medsize,A
2395,2395,YU90693,California,2481.842224,No,Basic,High School or Below,1/13/11,Employed,F,77993,Suburban,Single,62,26.0,10,0.0,1,Personal Auto,Personal L1,Offer2,Agent,297.6,Four-Door Car,Medsize,A
2396,2396,MW80236,Washington,7919.832069,No,Basic,Master,2/21/11,Unemployed,M,0,Suburban,Married,70,13.0,18,0.0,2,Personal Auto,Personal L1,Offer1,Agent,336.0,Four-Door Car,Medsize,A
2397,2397,AS93181,Arizona,4506.577736,No,Basic,Bachelor,1/31/11,Disabled,F,14985,Suburban,Married,116,12.0,45,0.0,1,Personal Auto,Personal L3,Offer1,Call Center,571.319514,Sports Car,Medsize,A
2400,2400,GJ99406,Arizona,7462.926263,Yes,Extended,College,1/28/11,Employed,F,70263,Rural,Married,93,30.0,66,0.0,5,Corporate Auto,Corporate L2,Offer2,Call Center,7.345946,Two-Door Car,Small,A
2401,2401,KR29524,Oregon,4742.617289,No,Basic,Bachelor,2/26/11,Employed,F,78596,Rural,Married,118,1.0,70,0.0,1,Personal Auto,Personal L1,Offer1,Branch,133.907696,SUV,Medsize,A
2412,2412,XK31350,Oregon,6915.729915,No,Extended,College,1/25/11,Employed,F,96610,Suburban,Married,85,6.0,23,0.0,3,Corporate Auto,Corporate L1,Offer4,Call Center,520.364752,Four-Door Car,Large,A
2414,2414,GQ32356,Nevada,3871.778009,No,Premium,High School or Below,2/6/11,Unemployed,F,0,Suburban,Single,111,10.0,75,0.0,1,Personal Auto,Personal L3,Offer2,Agent,799.2,Four-Door Car,Medsize,A
2417,2417,FS81127,California,2425.29505,No,Basic,Bachelor,1/3/11,Unemployed,F,0,Suburban,Married,67,3.0,42,1.0,1,Corporate Auto,Corporate L3,Offer2,Web,426.006858,Four-Door Car,Medsize,A
2421,2421,IH18704,California,4365.256633,No,Basic,Master,1/30/11,Disabled,M,23566,Suburban,Married,112,3.0,43,0.0,1,Personal Auto,Personal L2,Offer2,Agent,537.6,SUV,Medsize,A
2422,2422,WW37525,California,7659.499583,No,Extended,High School or Below,2/20/11,Employed,M,95701,Rural,Divorced,98,24.0,8,3.0,3,Personal Auto,Personal L3,Offer1,Branch,99.697769,Four-Door Car,Small,A
2429,2429,SQ35375,Oregon,5054.334903,No,Basic,Doctor,2/20/11,Employed,F,22241,Suburban,Married,63,1.0,1,0.0,6,Personal Auto,Personal L3,Offer2,Web,343.159148,Four-Door Car,Medsize,A
2434,2434,ON90223,Washington,12846.4477,No,Basic,College,2/6/11,Employed,M,93210,Suburban,Married,107,6.0,9,2.0,2,Personal Auto,Personal L3,Offer1,Agent,513.6,SUV,Small,A
2436,2436,UN90060,Oregon,8329.286254,No,Basic,High School or Below,1/19/11,Employed,F,30865,Rural,Married,104,33.0,31,0.0,7,Personal Auto,Personal L3,Offer1,Web,21.261834,SUV,Medsize,A
2437,2437,TI90592,California,7430.347681,No,Extended,College,1/21/11,Employed,M,61568,Urban,Married,93,3.0,36,0.0,3,Corporate Auto,Corporate L1,Offer1,Agent,240.818954,Four-Door Car,Medsize,A
2439,2439,HH45183,Oregon,3713.803592,No,Extended,High School or Below,2/10/11,Employed,M,93308,Suburban,Married,92,20.0,56,0.0,1,Personal Auto,Personal L3,Offer2,Agent,441.6,Four-Door Car,Medsize,A
2440,2440,ES93923,Oregon,8798.312515,No,Premium,Bachelor,2/6/11,Employed,F,24550,Suburban,Married,111,12.0,6,0.0,9,Personal Auto,Personal L1,Offer2,Agent,536.00374,Four-Door Car,Small,A
2442,2442,LZ89773,California,2326.864833,No,Basic,Doctor,2/17/11,Unemployed,M,0,Suburban,Married,62,26.0,98,0.0,1,Personal Auto,Personal L3,Offer3,Agent,624.711448,Four-Door Car,Small,A
2451,2451,YE68736,California,7724.840065,No,Premium,Bachelor,2/7/11,Employed,F,32051,Suburban,Married,193,4.0,40,1.0,1,Personal Auto,Personal L3,Offer1,Call Center,926.4,SUV,Medsize,A
2452,2452,KL57176,Oregon,4505.405812,No,Basic,College,2/15/11,Employed,F,67801,Rural,Divorced,115,12.0,45,1.0,1,Personal Auto,Personal L3,Offer3,Web,23.810491,SUV,Medsize,A
2453,2453,GT54462,Arizona,14349.85991,No,Premium,Bachelor,2/5/11,Employed,M,73222,Urban,Married,180,24.0,43,0.0,3,Personal Auto,Personal L1,Offer1,Call Center,821.51673,SUV,Large,A
2455,2455,YU72630,Arizona,2592.437797,Yes,Basic,High School or Below,1/2/11,Employed,M,72421,Suburban,Married,65,8.0,23,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,312.0,Four-Door Car,Small,A
2458,2458,YE67531,Oregon,8382.630118,Yes,Basic,High School or Below,2/4/11,Retired,M,19683,Suburban,Married,117,17.0,41,1.0,9,Personal Auto,Personal L3,Offer1,Web,561.6,Sports Car,Medsize,A
2466,2466,VU33725,Oregon,3677.907634,No,Extended,High School or Below,1/10/11,Employed,M,31349,Suburban,Married,93,10.0,32,0.0,1,Corporate Auto,Corporate L2,Offer4,Branch,446.4,Four-Door Car,Medsize,A
2467,2467,PU41393,Nevada,8269.075366,No,Basic,College,2/18/11,Medical Leave,M,20225,Suburban,Married,114,27.0,64,1.0,6,Special Auto,Special L2,Offer3,Call Center,547.2,SUV,Small,A
2472,2472,IK12576,Oregon,4233.56878,No,Premium,Bachelor,2/13/11,Employed,F,95647,Suburban,Single,106,11.0,30,0.0,1,Personal Auto,Personal L2,Offer1,Agent,508.8,Two-Door Car,Medsize,A
2476,2476,TM79451,California,5367.089817,No,Basic,College,1/6/11,Employed,F,97742,Rural,Single,67,33.0,57,0.0,5,Personal Auto,Personal L1,Offer1,Agent,67.648392,Four-Door Car,Small,A
2477,2477,NG68910,California,8901.055724,No,Basic,High School or Below,2/20/11,Employed,M,46814,Suburban,Married,113,7.0,19,0.0,3,Corporate Auto,Corporate L1,Offer4,Agent,542.4,SUV,Medsize,A
2484,2484,IJ33473,California,20766.66918,No,Basic,Bachelor,1/13/11,Unemployed,F,0,Suburban,Single,73,9.0,28,2.0,2,Personal Auto,Personal L3,Offer3,Call Center,350.4,Two-Door Car,Medsize,A
2485,2485,OY51402,Washington,8255.76385,No,Basic,High School or Below,1/14/11,Employed,F,54040,Rural,Married,103,14.0,88,0.0,4,Personal Auto,Personal L2,Offer1,Agent,59.987126,SUV,Medsize,A
2488,2488,HA45220,California,5258.251562,No,Basic,High School or Below,2/26/11,Employed,F,37874,Rural,Married,65,30.0,65,0.0,8,Corporate Auto,Corporate L3,Offer1,Branch,41.016038,Four-Door Car,Large,A
2489,2489,MB51200,Washington,19069.49954,No,Premium,College,2/2/11,Unemployed,M,0,Suburban,Single,102,29.0,72,2.0,2,Personal Auto,Personal L3,Offer1,Branch,734.4,Four-Door Car,Medsize,A
2491,2491,YX96463,Oregon,5926.980962,No,Basic,Bachelor,2/7/11,Employed,F,58733,Suburban,Married,74,26.0,42,0.0,9,Corporate Auto,Corporate L2,Offer2,Call Center,355.2,Four-Door Car,Small,A
2492,2492,NA12740,Oregon,5004.310469,No,Basic,Master,2/10/11,Disabled,M,25486,Rural,Married,65,15.0,53,0.0,3,Special Auto,Special L3,Offer1,Web,72.438681,Two-Door Car,Medsize,A
2493,2493,SJ43436,Oregon,2452.738575,No,Basic,Bachelor,1/28/11,Employed,F,52785,Rural,Married,61,2.0,90,0.0,1,Corporate Auto,Corporate L1,Offer2,Agent,45.721456,Two-Door Car,Medsize,A
2495,2495,WM25415,Oregon,7732.385103,No,Basic,High School or Below,1/11/11,Employed,F,34430,Urban,Divorced,65,6.0,15,0.0,2,Personal Auto,Personal L2,Offer1,Agent,184.958966,Two-Door Car,Medsize,A
2497,2497,ZC61874,Arizona,9560.049227,No,Extended,Doctor,2/3/11,Disabled,F,19429,Suburban,Married,122,18.0,21,0.0,9,Special Auto,Special L1,Offer1,Branch,683.45551,SUV,Small,A
2500,2500,VR66049,Washington,6689.022728,Yes,Extended,High School or Below,2/13/11,Employed,M,56980,Suburban,Married,84,33.0,70,0.0,7,Corporate Auto,Corporate L3,Offer2,Agent,599.000883,Two-Door Car,Medsize,A
2501,2501,AD28349,Arizona,4637.544647,No,Basic,High School or Below,2/23/11,Unemployed,M,0,Suburban,Divorced,68,18.0,81,0.0,3,Personal Auto,Personal L3,Offer1,Call Center,352.130674,Four-Door Car,Medsize,A
2507,2507,FH97700,Washington,4049.415027,No,Premium,Bachelor,1/18/11,Employed,F,62864,Rural,Single,104,20.0,14,0.0,1,Personal Auto,Personal L2,Offer3,Agent,171.213743,Two-Door Car,Small,A
2513,2513,VC34764,California,7019.177186,Yes,Basic,College,1/23/11,Retired,M,26806,Suburban,Married,63,32.0,19,0.0,2,Personal Auto,Personal L2,Offer1,Agent,302.4,Four-Door Car,Medsize,A
2516,2516,WL99637,Arizona,7614.137981,No,Extended,Bachelor,2/2/11,Employed,M,27293,Suburban,Married,96,20.0,55,0.0,6,Personal Auto,Personal L3,Offer2,Web,469.030907,Two-Door Car,Medsize,A
2518,2518,WX80471,California,6676.726314,No,Extended,High School or Below,1/27/11,Employed,M,56875,Rural,Married,84,0.0,70,0.0,6,Personal Auto,Personal L2,Offer3,Branch,145.448401,Two-Door Car,Medsize,A
2519,2519,VU19243,Arizona,4196.257691,No,Premium,High School or Below,2/26/11,Medical Leave,F,18052,Suburban,Divorced,111,5.0,71,0.0,1,Personal Auto,Personal L1,Offer3,Web,699.1679,Four-Door Car,Medsize,A
2520,2520,KD63998,California,2674.730716,Yes,Basic,College,2/15/11,Employed,M,56342,Suburban,Single,69,12.0,89,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,331.2,Four-Door Car,Small,A
2521,2521,XW93623,Nevada,7221.151702,No,Basic,Bachelor,2/9/11,Employed,M,33811,Urban,Married,184,17.0,59,0.0,1,Personal Auto,Personal L3,Offer3,Agent,587.37679,Luxury SUV,Medsize,A
2523,2523,YI95574,Arizona,3587.359906,No,Extended,High School or Below,2/18/11,Disabled,M,16049,Suburban,Married,93,3.0,8,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,446.4,Four-Door Car,Large,A
2524,2524,JW30054,Oregon,8283.066678,No,Premium,High School or Below,2/22/11,Employed,M,71034,Suburban,Married,103,26.0,15,0.0,3,Corporate Auto,Corporate L1,Offer1,Branch,494.4,Four-Door Car,Medsize,A
2525,2525,TP34946,California,5108.038755,No,Basic,College,1/9/11,Disabled,M,26784,Suburban,Married,67,14.0,82,0.0,8,Corporate Auto,Corporate L3,Offer3,Branch,482.4,Four-Door Car,Small,A
2527,2527,HF82396,Oregon,14428.86926,No,Basic,High School or Below,1/17/11,Unemployed,F,0,Suburban,Single,68,2.0,82,0.0,2,Personal Auto,Personal L1,Offer1,Branch,326.4,Two-Door Car,Small,A
2532,2532,ZG10765,Nevada,5678.050167,Yes,Extended,Bachelor,1/19/11,Unemployed,F,0,Suburban,Married,76,8.0,44,0.0,3,Personal Auto,Personal L2,Offer2,Agent,364.8,Four-Door Car,Small,A
2533,2533,GA86186,Oregon,3230.576665,Yes,Extended,College,1/5/11,Employed,M,62873,Urban,Divorced,81,0.0,41,0.0,1,Special Auto,Special L3,Offer2,Call Center,207.75186,Four-Door Car,Medsize,A
2534,2534,IS63925,Arizona,7805.31287,Yes,Basic,College,1/27/11,Retired,F,21073,Suburban,Divorced,106,25.0,54,1.0,3,Personal Auto,Personal L2,Offer1,Agent,508.8,SUV,Small,A
2541,2541,JE99638,Arizona,7699.632103,No,Basic,Bachelor,2/3/11,Medical Leave,M,23577,Rural,Married,68,1.0,67,0.0,2,Personal Auto,Personal L3,Offer2,Agent,91.815153,Four-Door Car,Medsize,A
2544,2544,OM82309,California,58166.55351,No,Basic,Bachelor,2/27/11,Employed,M,61321,Rural,Single,186,0.0,30,1.0,2,Personal Auto,Personal L3,Offer2,Branch,427.63121,Luxury Car,Small,A
2545,2545,IH48064,Washington,9080.28284,No,Basic,High School or Below,2/2/11,Employed,M,68073,Suburban,Married,114,16.0,63,0.0,8,Personal Auto,Personal L3,Offer3,Agent,547.2,SUV,Medsize,A
2547,2547,TY22591,Washington,7824.372789,No,Basic,College,1/18/11,Employed,M,32823,Suburban,Married,100,1.0,36,0.0,8,Personal Auto,Personal L3,Offer2,Agent,480.0,SUV,Medsize,A
2550,2550,MC55901,California,5233.949019,No,Basic,High School or Below,1/30/11,Employed,F,69231,Urban,Married,65,19.0,7,0.0,9,Personal Auto,Personal L1,Offer2,Agent,193.243084,Four-Door Car,Medsize,A
2554,2554,YP32443,Oregon,4372.194536,No,Basic,Bachelor,1/23/11,Medical Leave,M,20354,Suburban,Married,116,23.0,0,0.0,1,Personal Auto,Personal L1,Offer3,Agent,556.8,SUV,Medsize,A
2555,2555,CO91673,California,4547.321823,No,Basic,Bachelor,2/14/11,Medical Leave,F,29031,Suburban,Married,61,7.0,19,2.0,3,Personal Auto,Personal L2,Offer2,Agent,292.8,Four-Door Car,Medsize,A
